0,total_EAD_MEUR,EAD_earthquake_MEUR,EAD_college_MEUR,EAD_kindergarten_MEUR,EAD_library_MEUR,EAD_school_MEUR,EAD_university_MEUR
curve_E21_26_C,0.4482534970286338,0.4571106030408493,0.45859093476691076,0.47829362145849,0.0,0.4506955661607451,0.4457902467749441
cost_level,0.406400030869135,0.4044811190827858,0.40085525656944015,0.38709698464608067,0.0,0.40498584586199504,0.4102938806571081
pga_scale,0.1353401212171006,0.13073505941877425,0.13083798644509873,0.12667087124805052,0.0,0.13585169222955734,0.1356091255339412
aggregation,0.0100063508851306,0.007673218457590641,0.009715822218550246,0.007938522647378866,0.0,0.00846689574770254,0.008306747034006672
