0,total_EAD_MEUR,EAD_earthquake_MEUR,EAD_college_MEUR,EAD_kindergarten_MEUR,EAD_library_MEUR,EAD_school_MEUR,EAD_university_MEUR
curve_E21_26_C,0.4387915171440814,0.4396825807543566,0.44274470205951394,0.4409928768623791,0.0,0.42546286299956054,0.45429345349878075
cost_level,0.4239709608786475,0.4182610956673112,0.4156590840483172,0.4189892111723136,0.0,0.42647761019688,0.4088138197479594
pga_scale,0.12861298706018098,0.13303332156842443,0.13373863781680617,0.1316286527775885,0.0,0.13926062812130133,0.12722062241046533
aggregation,0.00862453491709019,0.009023002009907818,0.007857576075362705,0.008389259187718854,0.0,0.008798898682258117,0.00967210434279449
