0,total_EAD_MEUR,EAD_earthquake_MEUR,EAD_aerodrome_MEUR,EAD_apron_MEUR,EAD_runway_MEUR,EAD_terminal_MEUR
curve_E7_10,0.00834487099601173,0.008195781962032186,0.007017300099288767,0.006650608045164049,0.8248327417734364,0.013126258458369929
curve_E9_2,0.6697808144343225,0.6683295157032408,0.7215431474023062,0.7243332138264265,0.020886957353280423,0.08418602101682847
cost_level,0.15694944802627603,0.1565427025759165,0.09689521468305812,0.09793821793621682,0.07982984204344322,0.8571562373767082
pga_scale,0.16216668834601944,0.1642051122086187,0.17172676909178278,0.16873658936448852,0.06285719165580148,0.04125762250740225
aggregation,0.002758178197370257,0.0027268875501917774,0.002817568723564057,0.002341370827704164,0.01159326717403858,0.004273860640691127
