0,total_EAD_MEUR,EAD_river_MEUR,damage_RP100_river_MEUR,exposed_qty_RP100_river,EAD_college_MEUR,EAD_kindergarten_MEUR,EAD_library_MEUR,EAD_school_MEUR,EAD_university_MEUR
curve_F21_10,0.12414929806112296,0.11389780768603222,0.24722977663497617,0.014064292748434442,0.22008599546836136,0.09422997661439765,0.0,0.11574359521523751,0.0
warming,0.36272360774162044,0.3744611174859393,0.013878112446043596,0.012562879049732582,0.2711284444771886,0.349016572747375,0.0,0.3762748196362458,0.0
cost_level,0.45878517031726923,0.4576208030473751,0.6655124429897529,0.022785710488644025,0.41634106766860624,0.5045821427888999,0.0,0.45486828492294556,0.0
depth_offset,0.041997778614604325,0.04199451154915207,0.05916690134727437,0.9469408992590234,0.07412255814991373,0.039362229374415296,0.0,0.04065379710954221,0.0
aggregation,0.012344145265383062,0.012025760231501193,0.014212766581952885,0.0036462184541655685,0.01832193423593013,0.012809078474912104,0.0,0.012459503116028869,0.0
