0,total_EAD_MEUR,EAD_river_MEUR,damage_RP100_river_MEUR,exposed_qty_RP100_river,EAD_college_MEUR,EAD_kindergarten_MEUR,EAD_library_MEUR,EAD_school_MEUR,EAD_university_MEUR
curve_F21_10,0.4988221745511071,0.5015091218396303,0.5016796699985463,0.011280215337311855,0.5340854814605438,0.5060665904069335,0.0,0.47610433012772135,0.41331348596635936
warming,0.05130782260544831,0.052611032487124704,0.020442544907169426,0.010419559595065029,0.02259956788933832,0.07518811833057577,0.0,0.05505714195698026,0.17954224902035276
cost_level,0.34776257051688686,0.34543349636148096,0.3783045359039631,0.02077980350694449,0.3475021306021493,0.31601848766402346,0.0,0.3663715725075437,0.3331355707992574
depth_offset,0.09197659159044937,0.09037431829529881,0.08915096309177353,0.9541234914650353,0.08723479080335397,0.09217407338171806,0.0,0.09160187448981374,0.06141644464014523
aggregation,0.010130840736108397,0.010072031016465402,0.010422286098547584,0.0033969300956432943,0.008578029244614493,0.010552730216749176,0.0,0.010865080917940905,0.012592249573885335
