0,total_EAD_MEUR,EAD_river_MEUR,EAD_earthquake_MEUR,damage_RP100_river_MEUR,exposed_qty_RP100_river,EAD_college_MEUR,EAD_kindergarten_MEUR,EAD_library_MEUR,EAD_school_MEUR,EAD_university_MEUR
curve_F21_10,0.13885472294160064,0.14740262451027555,0.06043661281984289,0.4732278797704685,0.012908716258928216,0.15297099672060624,0.1159581410060956,0.0,0.13116780629307936,0.11042367877787024
curve_E21_26_C,0.030700724475559032,0.029071510260251548,0.3080482245293987,0.01992408663613915,0.015783762263009742,0.03378354334775287,0.04435463551429113,0.0,0.033022132843091676,0.04630912620548287
warming,0.031370233576262896,0.03326534135384138,0.058816500950502205,0.01844032277595199,0.011720660053551078,0.02726345969744041,0.05963906288961687,0.0,0.031115715017758065,0.05022722359164894
cost_level,0.1579569682062167,0.12665078045902037,0.3231103309477234,0.3551573948303514,0.014590065545980697,0.1280723659450988,0.18922335671843166,0.0,0.1656721977951979,0.21752543325947032
protection_abs_rp,0.5393599748965118,0.5661538663530024,0.06235891344749354,0.021829427263533808,0.014242248889906575,0.5538810666118975,0.4742670339071412,0.0,0.5347666404449671,0.4725184736121112
depth_offset,0.05003696602847055,0.04724094455698367,0.06434792259073772,0.07756765510123251,0.9095702387852291,0.05008613708808931,0.053531003844172274,0.0,0.04846685890844711,0.043051697669558554
pga_scale,0.032841880188062465,0.03215048144239228,0.09075741166512159,0.021852357740270934,0.015534963278056759,0.031993739231453544,0.04000820219722618,0.0,0.03443675218011133,0.03701518666639396
aggregation,0.01887852968731611,0.018064451064232843,0.03212408304918001,0.012000875882051688,0.00564934492533777,0.021948691357661476,0.023018563923025127,0.0,0.02135189651734743,0.02292918021746392
