outcome,factor,S1,S1_conf,ST,ST_conf,interaction
total_EAD_MEUR,curve_E21_26_C,0.6647179678770005,0.10909321878946407,0.7142787469509241,0.09375456645794279,0.04956077907392353
total_EAD_MEUR,cost_level,0.17056575033707075,0.0600268482605591,0.304289387034282,0.06035540738910457,0.13372363669721124
total_EAD_MEUR,pga_scale,0.016447361716337296,0.025014366822492563,0.03464901888322003,0.006791203354379593,0.018201657166882733
total_EAD_MEUR,aggregation,-1.277664871772697e-07,4.50346139881027e-07,5.829397122396835e-12,2.734696659615536e-12,1.277723165743921e-07
EAD_earthquake_MEUR,curve_E21_26_C,0.6647179678770005,0.1148034776411018,0.7142787469509241,0.09721624374081603,0.04956077907392353
EAD_earthquake_MEUR,cost_level,0.17056575033707075,0.07106948998459824,0.304289387034282,0.060949074137166125,0.13372363669721124
EAD_earthquake_MEUR,pga_scale,0.016447361716337296,0.025289314948417827,0.03464901888322003,0.007312446860904116,0.018201657166882733
EAD_earthquake_MEUR,aggregation,-1.277664871772697e-07,4.238616846308699e-07,5.829397122396835e-12,3.1314564999579508e-12,1.277723165743921e-07
