0,total_EAD_MEUR,EAD_earthquake_MEUR,EAD_cable_MEUR,EAD_catenary_mast_MEUR,EAD_generator_MEUR,EAD_line_MEUR,EAD_minor_line_MEUR,EAD_plant_MEUR,EAD_pole_MEUR,EAD_portal_MEUR,EAD_substation_MEUR,EAD_switch_MEUR,EAD_terminal_MEUR,EAD_tower_MEUR,EAD_transformer_MEUR
curve_E1_1,0.36062477762697653,0.34599027366378454,0.017926690778808648,0.01440414775984477,0.4994613475534736,0.017544174528702855,0.010471973979729807,0.3858534643156671,0.01667980596843365,0.030770336075179476,0.029342851241199397,0.02686679377785093,0.02899698895982071,0.0,0.031011852586823003
curve_E2_1,0.049154842955671595,0.04812226562603917,0.01770429775117937,0.013175005725843906,0.040756994843284086,0.018905004574119488,0.011629668070036472,0.03492338730340974,0.016199726576411156,0.6566149081807942,0.6654487722071188,0.6654327558893006,0.6639652953695772,0.0,0.6600588150191115
curve_E3_1,0.018228468321423125,0.019432783738132748,0.006973509584304937,0.005669840624815816,0.017132538558488678,0.00811422201571395,0.005429027722224542,0.01777846083587151,0.007981854858534851,0.01533240787728899,0.016250869553727242,0.01524875816189382,0.015866860494484054,0.0,0.01592541622884197
curve_E4_1,0.030961084862130315,0.03519758068373829,0.014435734406005653,0.8970650466039762,0.03489664468825128,0.01456308369155713,0.008836789129844494,0.026999844615233602,0.7369194021740397,0.028000145988424117,0.026257903443843645,0.027756994849725835,0.026199531707777415,0.0,0.028053807973935287
curve_E6_1,0.030909199440183353,0.032107718521309635,0.6948231225312377,0.010360498952736871,0.032017210657040905,0.6609539548660233,0.9124728631843544,0.027834293403990205,0.013169378726246463,0.025825591774381425,0.024063273174001153,0.02526885073262791,0.02636202040754614,0.0,0.025960351705175785
cost_level,0.43875883538016486,0.4457020878051678,0.21437793984117698,0.02930744742228161,0.3052211422125894,0.24483524095312478,0.020899927763979406,0.4433246261787828,0.17564782560766465,0.18595918981272974,0.18458190060730634,0.1830317743416824,0.18144571911034457,0.0,0.1800836026912568
pga_scale,0.050375361076678435,0.05308613585945102,0.025810805702839563,0.023413951294861457,0.05157942260878676,0.026185448103030452,0.02448723509393361,0.0471828781814996,0.026173315476224927,0.04476260719643165,0.04120462785692787,0.04190712692226674,0.04347028142559279,0.0,0.04309597386998304
aggregation,0.020987430336771865,0.020361154102376856,0.007947899404447286,0.006604061615639462,0.018934698878085188,0.008898871267728037,0.0057725150558972215,0.016103045165545483,0.007228690612444677,0.01273481309477046,0.012849801915875578,0.014486945324651628,0.0136933025248571,0.0,0.01581017992487272
