outcome,factor,S1,S1_conf,ST,ST_conf,interaction
total_EAD_MEUR,curve_E7_10,0.8583582638069434,0.1702364804695141,0.9074729601682663,0.134654548394727,0.04911469636132293
total_EAD_MEUR,cost_level,0.0032911836338889527,0.03256773246602657,0.11208748762569455,0.042351010180553754,0.10879630399180559
total_EAD_MEUR,pga_scale,0.015152465397746416,0.02350082413420562,0.031944170421165013,0.01045665192825831,0.016791705023418597
total_EAD_MEUR,aggregation,-4.4935354243377136e-07,4.7817239400907455e-06,1.5530435545861422e-09,5.379456775053984e-10,4.509065859883575e-07
EAD_earthquake_MEUR,curve_E7_10,0.8583582638069434,0.17515971601253083,0.9074729601682663,0.14032337251421062,0.04911469636132293
EAD_earthquake_MEUR,cost_level,0.0032911836338889527,0.03368013008263879,0.11208748762569455,0.033912459902927836,0.10879630399180559
EAD_earthquake_MEUR,pga_scale,0.015152465397746416,0.025951237979833782,0.031944170421165013,0.01158164094904671,0.016791705023418597
EAD_earthquake_MEUR,aggregation,-4.4935354243377136e-07,4.308486171644495e-06,1.5530435545861422e-09,5.124783600487433e-10,4.509065859883575e-07
