0,total_EAD_MEUR,EAD_river_MEUR,EAD_earthquake_MEUR,damage_RP100_river_MEUR,exposed_qty_RP100_river,EAD_cable_MEUR,EAD_catenary_mast_MEUR,EAD_generator_MEUR,EAD_line_MEUR,EAD_minor_line_MEUR,EAD_plant_MEUR,EAD_pole_MEUR,EAD_portal_MEUR,EAD_substation_MEUR,EAD_switch_MEUR,EAD_terminal_MEUR,EAD_tower_MEUR,EAD_transformer_MEUR
curve_F1_1,0.1595786685609252,0.15839786922504434,0.027849740599840956,0.3473767113029747,0.009927048110662742,0.013810342420442318,0.014144648761650684,0.01909310272614547,0.02430914681419987,0.013820775720241653,0.2304354538983326,0.019630225563829793,0.021520835472481306,0.024406215629654348,0.0218941364155335,0.024384345875273813,0.02242810578831889,0.025604329898717935
curve_F2_1,0.029966398964284616,0.02825063307264853,0.024545640008811605,0.020847781842509006,0.008592296908353622,0.011235597010444687,0.01300106544758819,0.020058873601101996,0.024541787158402387,0.014557089999142035,0.03364247764908886,0.019051338389860017,0.02111060025651487,0.024839058091242525,0.019442100430466437,0.022066905466940127,0.018814090251100434,0.02028139282153274
curve_F6_1,0.027763252989810385,0.0243817306298017,0.018750703626714566,0.015587746976280086,0.006032933095809368,0.009984748089439457,0.011625295700407792,0.014179673514375194,0.14757864543437282,0.3616253246827181,0.020993846282227894,0.14185288046492092,0.014077886497897112,0.018944109498962722,0.015552464574911343,0.015638758720186,0.2451045297272624,0.016278570242147936
curve_E1_1,0.032909881336911674,0.0333898815243884,0.3102512277905843,0.022946474850630793,0.00994059204801278,0.013000684519544494,0.013070131254109019,0.01953029997656817,0.020193383024426106,0.014394199180591346,0.03522413932479871,0.021576684787525904,0.024460464123995208,0.02429394109185918,0.020093339009818956,0.02394124734743555,0.018014289933755583,0.02185956782269533
curve_E2_1,0.032490965500153096,0.041357718798079895,0.030213975205074954,0.02505544770701886,0.010071698485349945,0.013175343758574893,0.015504241950152107,0.020688075237065333,0.022150333891527423,0.013348304059394566,0.03418523107037062,0.023068687112898157,0.597747113264789,0.24788736250473475,0.020698776866490545,0.5900457291811306,0.019222975109364625,0.03335999768305603
curve_E3_1,0.03019112325802801,0.028176393934937462,0.018543257218112563,0.015006366592278915,0.006493739234487012,0.009682041074882025,0.009918231899101697,0.015791867981679315,0.020310931548694882,0.011504956806393194,0.0292098796298604,0.01847296401108177,0.01636166188467294,0.018700322357666655,0.015322915173335568,0.0169565008306329,0.0182463872971681,0.017810014722807337
curve_E4_1,0.030826531576033746,0.0314996778153438,0.024961118742013354,0.021663831785451202,0.00881504213079784,0.012942568893899742,0.015442533472614945,0.018985880856475283,0.022025817400030675,0.015019125211524306,0.03212926996357915,0.1994065372730483,0.020855625127001558,0.024313983586577645,0.019647972671014396,0.021892765829284618,0.01724584400133259,0.02048235767629418
curve_E6_1,0.027756837272493184,0.028112778409239026,0.02772658790970899,0.02130220880731291,0.010008972867385824,0.6491101675254579,0.01388471505782466,0.017024846951312955,0.11530971470386962,0.01810600309725808,0.03786476510645249,0.019121019627671803,0.024205097456755618,0.02451712799347972,0.016565970187347758,0.02237180892952864,0.020276631003541476,0.020246753759960615
warming,0.038035122333793206,0.04246258405380804,0.02828051484136133,0.023272756363183086,0.009689642214020126,0.01294681639414365,0.014885191531656792,0.017988269468650595,0.034719795165234935,0.0733950153502747,0.04149724777816482,0.020314390690659316,0.022164530487170264,0.032156351059361876,0.07009996839720754,0.02326372165875901,0.04267653267016877,0.061659573448762696
cost_level,0.20716195698623965,0.19324303722354833,0.38564726227710683,0.35727468343965313,0.009441428146838182,0.19801814287540317,0.034461267378912586,0.2030298628344343,0.26487163649633516,0.016777117769729743,0.17878387527397718,0.187409501557022,0.1465401387137349,0.24035852272556074,0.18881068269629697,0.14913371077015058,0.1701047052401172,0.22264173508316282
protection_abs_rp,0.2787484834270301,0.27741701095873356,0.024066360839974318,0.021560414034914918,0.009267775939383719,0.01370425251990118,0.7252872925984936,0.521289744876433,0.21438929204559232,0.3731975483182899,0.22493835183580546,0.2337955145180371,0.022662705455323232,0.2264864456266962,0.53428058214628,0.022242440544483814,0.31500188990953276,0.4684264175102394
depth_offset,0.05217395204702401,0.05416648523303628,0.0280646403429605,0.06654688657383753,0.8854126460532189,0.013542006428019986,0.09316392313653084,0.08127803638191941,0.04547726733282007,0.04589095104248707,0.049113212944942475,0.05502091358847973,0.0212469583589928,0.04919209938962683,0.023468726614540327,0.021400829337848922,0.05621360792875831,0.03599517362728879
pga_scale,0.02601485817576511,0.030639042938895474,0.033333831096928994,0.02533377347892083,0.009729811453619527,0.01950140482073986,0.015072461290451611,0.017938836598133157,0.023226653660702607,0.013770533914657794,0.027616331169806257,0.024284122717361467,0.027967420006463684,0.02513183651176174,0.019020338152206398,0.030620620747059023,0.023992503852228925,0.0199551695547486
aggregation,0.02638196757150793,0.028505156182495144,0.017765139500806677,0.01622491624503408,0.006576373312060482,0.009345883669106778,0.01053900052050558,0.013122628995705878,0.020895595323791007,0.014593054847297546,0.02436591807259321,0.016995219697603727,0.019078962894207657,0.01877262393281502,0.015102026664550128,0.01604061476128623,0.012657907287349928,0.01539894614858566
