0,total_EAD_MEUR,EAD_river_MEUR,damage_RP100_river_MEUR,exposed_qty_RP100_river,EAD_cable_MEUR,EAD_catenary_mast_MEUR,EAD_generator_MEUR,EAD_line_MEUR,EAD_minor_line_MEUR,EAD_plant_MEUR,EAD_pole_MEUR,EAD_portal_MEUR,EAD_substation_MEUR,EAD_switch_MEUR,EAD_terminal_MEUR,EAD_tower_MEUR,EAD_transformer_MEUR
curve_F1_1,0.30383112808327206,0.3060821366241649,0.349792521412873,0.025259619535671823,0.0,0.026484318996003522,0.028158521830096993,0.02104545158550108,0.011262726890354742,0.3689672637330084,0.020415754247047987,0.025523524058391273,0.02846175006687488,0.02821235211390045,0.0,0.017954956053836634,0.026702956065523812
curve_F2_1,0.030703530620144293,0.0326412958112339,0.02441714979409087,0.014027773172547154,0.0,0.016833646899811247,0.01710876443670074,0.013884110317489371,0.006466815524991447,0.03443725625189438,0.012385669174914083,0.01599196892897846,0.01717450818515751,0.015752711712056486,0.0,0.011833948401293051,0.014576002597030546
curve_F6_1,0.018167827072443406,0.021804740384172436,0.017625886913954694,0.0071847204249412926,0.0,0.010680163840155028,0.008416742211741374,0.4562886149063596,0.7897737884475707,0.020823950474943797,0.5618991648591285,0.009732285476679294,0.010879995979333331,0.010156488917629816,0.0,0.5363978860792132,0.009239344802910242
warming,0.11766661672015753,0.12030289939129715,0.03962741683475834,0.019537265139889216,0.0,0.694147706548961,0.2867739681658428,0.09553619448278797,0.14449536024854454,0.09915372686416955,0.11594084927682784,0.3040715893499277,0.296833856701109,0.2891731582457406,0.0,0.09592090924281604,0.25588336976377013
cost_level,0.4508536262400628,0.4391844479923505,0.4986105238264739,0.030677739299107734,0.0,0.11290027351331079,0.6205564976758073,0.3783892451469364,0.024670898204546942,0.3919662032664278,0.2577359479847522,0.6073161382048525,0.6050545371589632,0.6158953438688384,0.0,0.30222344832834286,0.646735858496147
depth_offset,0.05860350451495225,0.056165831945387885,0.05352715074485005,0.895422674772244,0.0,0.12898622358802855,0.0306626228879907,0.02647253257477693,0.016725202898228046,0.06241604119028074,0.0247837948201635,0.028273881059186434,0.03173783285868421,0.031548242122610246,0.0,0.028609196524209422,0.036799109321101045
aggregation,0.020173766748967672,0.02381864785139304,0.016399350472999244,0.007890207655598796,0.0,0.00996766661372995,0.008322882791820039,0.008383850986148788,0.006605207785763552,0.022235558219275295,0.0068388196371657545,0.00909061292198447,0.009857519049877965,0.009261703019224033,0.0,0.0070596553702886086,0.010063358953517216
