0,total_EAD_MEUR,EAD_earthquake_MEUR,EAD_aerodrome_MEUR,EAD_apron_MEUR,EAD_runway_MEUR,EAD_terminal_MEUR
curve_E7_10,0.00723069655975395,0.006968694278497075,0.005487927355616857,0.005992364427443128,0.8403061615246161,0.012680071789990323
curve_E9_2,0.7160823820645663,0.712988910921614,0.7643842835740189,0.7608167664974768,0.018922279805783815,0.09618458112005786
cost_level,0.16020108604222638,0.1619886418350878,0.1074911117051942,0.10793364465895589,0.07850215583121001,0.8561760394395442
pga_scale,0.1137596636787963,0.11563679887695266,0.12070506404467643,0.12297736463320999,0.050832990273238704,0.030906582685121482
aggregation,0.0027261716546570897,0.002416954087848586,0.0019316133204936197,0.002279859782914387,0.011436412565151372,0.00405272496528613
