0,total_EAD_MEUR,EAD_river_MEUR,EAD_earthquake_MEUR,damage_RP100_river_MEUR,exposed_qty_RP100_river,EAD_aerodrome_MEUR,EAD_apron_MEUR,EAD_runway_MEUR,EAD_terminal_MEUR
curve_F7_4,0.02583545131141323,0.02398473274465646,0.00789004514821307,0.011865996295146222,0.01664172738841536,0.023505652084770776,0.0075835929804515985,0.13820987939636517,0.017850000506196985
curve_F9_1,0.03952294865088565,0.03989133894124265,0.007083451527183295,0.3366888795961894,0.012836558015059459,0.042190455371526915,0.007419314022105495,0.03841377846292105,0.015175755643619664
curve_E7_10,0.02909033022804046,0.029402092558778077,0.009416945797262257,0.012900367352006541,0.01892245393511323,0.028105152871453033,0.008916345927054084,0.044187877985063455,0.018959443247129573
curve_E9_2,0.022491335838057194,0.022765377863398755,0.7037059255012923,0.010413963407864458,0.013606526302514058,0.022143348202322666,0.7387711801659181,0.03546306208096037,0.08803182726453355
warming,0.12956302818388035,0.1278016679715658,0.008261125460155472,0.01279523132116998,0.015852623529819733,0.12618047447977498,0.008654646694104259,0.11903813744295202,0.016177118784507075
cost_level,0.032691624523319945,0.034111932187029716,0.14329977240041122,0.12101838121155868,0.01882700605778948,0.03230092992594715,0.10002517756473278,0.07072205656790503,0.7663773160037226
protection_abs_rp,0.6179958288622514,0.6191749057685614,0.00877524941549427,0.012906463720909263,0.019396494938290924,0.6193603830956275,0.008656429183356238,0.3042167088382077,0.018079880689956487
depth_offset,0.060738425571745726,0.06315925853180746,0.008362146405489518,0.45406427999069016,0.8541816688079135,0.06244608034982006,0.009054478389040528,0.1802748910816607,0.018926677708295255
pga_scale,0.025680929287489794,0.02387818718357425,0.09790957328824804,0.013035454113665499,0.02016925895640778,0.026402372834126622,0.10567484456979481,0.03586539959120388,0.030386405634577684
aggregation,0.016390097542916374,0.0158305062493854,0.005295765056250641,0.014310982990799963,0.009565682068676614,0.0173651507846303,0.00524399050344213,0.03360820855276063,0.010035574517460987
