0,total_EAD_MEUR,EAD_river_MEUR,EAD_earthquake_MEUR,damage_RP100_river_MEUR,exposed_qty_RP100_river,EAD_motorway_trunk_MEUR,EAD_primary_MEUR,EAD_secondary_MEUR,EAD_tertiary_MEUR,EAD_other_MEUR
curve_F7_4,0.02710810936247033,0.027575119999452495,0.03353177491373962,0.0314805839903444,0.014958690932623489,0.2082559215923631,0.20786697336176127,0.0207842054154127,0.020512846202783982,0.019674271633209447
curve_F7_8,0.30236258689332246,0.3020273913558206,0.01942997406573324,0.6013616732824097,0.008031829821018705,0.019909111570851856,0.01974053947302145,0.4232110636121887,0.348171978305536,0.37322705328926004
curve_E7_10,0.023894839140470657,0.024805638847659486,0.6724533415325318,0.008711896795056597,0.019436974138111036,0.035678488281029916,0.031599117675119685,0.020157756525354495,0.021792147483783986,0.022053165163333593
warming,0.07182450619658003,0.07847802147298914,0.03285139066579132,0.008476919330227357,0.016843117012309856,0.060730311219825694,0.07370918519576919,0.06053952510851804,0.07502674661536948,0.07622716175972362
cost_level,0.09961042469176982,0.10017443283246359,0.09456139930432919,0.201166758783226,0.019753715311745742,0.08105538563422933,0.036681250234633506,0.06312690506586983,0.029657923543983635,0.13646722626675784
protection_scale,0.34863819709081706,0.342883678706236,0.04072695183984027,0.009565295110884891,0.019693994388638232,0.4179416187867059,0.4381223263066331,0.3227478856298576,0.4021223210721414,0.2634692493321575
depth_offset,0.08388770705742661,0.08163529486712633,0.03893388339360951,0.12495227454576192,0.8738752325981108,0.11931514960561844,0.13673568690017496,0.05732994525789135,0.06589180928295807,0.07091246526876699
pga_scale,0.025887872530422677,0.026608718140933747,0.04652724553441438,0.009060589452050433,0.019789149892359054,0.03451310072962281,0.03530787827556378,0.020070802660124985,0.023177958522195095,0.02384284198717177
aggregation,0.016785757036720354,0.01581170377731881,0.020984038750010696,0.005224008710038581,0.007617295905083232,0.022600912579752972,0.020237042577323144,0.01203191072478243,0.013646268971248541,0.014126565299619339
