0,total_EAD_MEUR,EAD_river_MEUR,damage_RP100_river_MEUR,exposed_qty_RP100_river,EAD_motorway_trunk_MEUR,EAD_primary_MEUR,EAD_secondary_MEUR,EAD_tertiary_MEUR,EAD_other_MEUR
curve_F7_4,0.3130591695790405,0.30813297568170356,0.47717281560207503,0.011195951463944368,0.5249845479049714,0.6114976647764601,0.0074226380033799114,0.008065976046531517,0.008747947123958953
curve_F7_8,0.19363331981692164,0.19307248178987468,0.2761293195848113,0.004194721903350808,0.011811305809079721,0.009239013471537763,0.6944033248854472,0.7049796840783824,0.5744197686437914
warming,0.30397607210472377,0.30575456513264354,0.017715610315065626,0.01437300538064362,0.19074126031948216,0.26523942246277293,0.1627060338488873,0.21756880575063692,0.15665998199914488
cost_level,0.14204817497602346,0.14526171691687925,0.18536968236208526,0.024807820920970516,0.1861208765622418,0.06315817703481139,0.11239571402194679,0.0455316794323209,0.23735673341868394
depth_offset,0.03713983564310186,0.03691425277504704,0.034179932635256725,0.9406316792904917,0.07302594726871943,0.04052370910164608,0.019027855074813256,0.019320613589903928,0.018193309203161402
aggregation,0.0101434278801888,0.010864007703851975,0.009432639500706077,0.004796821040598973,0.01331606213550564,0.010342013152771778,0.004044434165525436,0.00453324110222449,0.004622259611259292
