0,total_EAD_MEUR,EAD_earthquake_MEUR,EAD_cable_MEUR,EAD_catenary_mast_MEUR,EAD_generator_MEUR,EAD_line_MEUR,EAD_minor_line_MEUR,EAD_plant_MEUR,EAD_pole_MEUR,EAD_portal_MEUR,EAD_substation_MEUR,EAD_switch_MEUR,EAD_terminal_MEUR,EAD_tower_MEUR,EAD_transformer_MEUR
curve_E1_1,0.1110794387748306,0.11245479459646565,0.018093381809381463,0.01161103314922206,0.4974501023756882,0.019919580836532388,0.012840411222012437,0.34380038667222934,0.016456953326081,0.03425230686865134,0.03710136022620732,0.03400162769693964,0.03331293496215952,0.0,0.037418434316629424
curve_E2_1,0.3397049027271732,0.3340515339404114,0.015945352771775716,0.013036191833356539,0.03749444070546915,0.019143125611659102,0.010840696553925612,0.03985413515326336,0.016307795269247485,0.6553133738730562,0.6489512712863719,0.6479107158681213,0.6467356556527654,0.0,0.6451984583029851
curve_E3_1,0.020383601765569494,0.02087117875574864,0.010031681991972912,0.005810918111956453,0.018373685858774177,0.010870305204470736,0.006490378722393922,0.02023964103327286,0.008610106151598743,0.01521072232877766,0.01783001064968396,0.01697978553183399,0.016236058809986194,0.0,0.016456733974766474
curve_E4_1,0.0361880474190389,0.03509867988490676,0.013473125850075963,0.8982390947575853,0.030880118024276506,0.016228389485749974,0.009680773836185952,0.03434709055153173,0.7269723952124111,0.029497004347889537,0.02821993718326661,0.02652238817476492,0.028031528608881848,0.0,0.02675318922144586
curve_E6_1,0.028935838600335967,0.03235262561173515,0.6914917289256726,0.00943417312693509,0.033592201920814975,0.6436095706081579,0.9009529923928435,0.03347495944477576,0.014322018810488361,0.02711089588894643,0.03027674673671628,0.027333075486932857,0.02562571860319154,0.0,0.026490759205167
cost_level,0.38529531346540363,0.38728978638121864,0.20810281310415343,0.03349810667918419,0.3025932424471561,0.24545928840295986,0.022298542817070725,0.4536533033683205,0.18186394753622226,0.17678107470653484,0.17398608440373275,0.1838238442658414,0.1838120697348909,0.0,0.17842359236413446
pga_scale,0.05756481372467263,0.05603193332196772,0.033409897994549194,0.02240081802726399,0.06147202881027659,0.03503151040068054,0.03099968897133524,0.057067084805916976,0.02787859172717765,0.04770032769192212,0.046470865355497326,0.0480556395904678,0.050033851793751534,0.0,0.051147511790164545
aggregation,0.02084804352297566,0.021849467507546124,0.009452017552418809,0.005969664314496401,0.018144179857544213,0.009738229449789578,0.005896515484232602,0.017563398970689467,0.007588191966773271,0.014134294294221729,0.01716372415852395,0.015372923385097997,0.016212181834373156,0.0,0.018111320824707167
