0,total_EAD_MEUR,EAD_river_MEUR,EAD_earthquake_MEUR,damage_RP100_river_MEUR,exposed_qty_RP100_river,EAD_cable_MEUR,EAD_catenary_mast_MEUR,EAD_generator_MEUR,EAD_line_MEUR,EAD_minor_line_MEUR,EAD_plant_MEUR,EAD_pole_MEUR,EAD_portal_MEUR,EAD_substation_MEUR,EAD_switch_MEUR,EAD_terminal_MEUR,EAD_tower_MEUR,EAD_transformer_MEUR
curve_F1_1,0.1217994242014639,0.1386034355629016,0.025227985444413844,0.3298163701445581,0.011355686935846163,0.01404604499726801,0.016604202772488093,0.020618154336809965,0.016744184892438285,0.015460104859435872,0.17416168803507823,0.016303881338845513,0.022945830974700245,0.023313583795925102,0.02443435359545259,0.021571035341889946,0.019438612024174202,0.02218950247963957
curve_F2_1,0.030154241818905074,0.02605080922704106,0.02568942193260547,0.018048360625149144,0.009211106762637752,0.011104926512508965,0.013872707739232876,0.017878905347514983,0.01599137751555202,0.013028107108744812,0.031499107866256544,0.014988187572532901,0.02050753561408185,0.02031390001611341,0.02257999630196434,0.021515356398202196,0.018981721170495014,0.021447473052293147
curve_F6_1,0.021800477391376475,0.024633938449694116,0.019093135513594577,0.01537269263798763,0.007653429055562842,0.007886278672549615,0.011718896022099605,0.013560082281779275,0.04562227415563991,0.10200305867790538,0.0233727408007495,0.06470749817083292,0.016202971370145466,0.017678534149908488,0.01894912259257823,0.014717638268642651,0.26641373905228183,0.015331980866130608
curve_E1_1,0.03194295920579931,0.029101250810880892,0.08088423942185954,0.024058232224556438,0.012213096395501815,0.012668864397879741,0.017619816316769534,0.024605332279661288,0.017085196993083106,0.014933351580968533,0.03283401947193234,0.016279769873006205,0.02175810659102718,0.02117935086130072,0.0252791040430867,0.02223940620409398,0.021303287001477857,0.02205543396157599
curve_E2_1,0.03238311468030214,0.0322916398166278,0.28129502192292716,0.0238673761145735,0.012357652740360374,0.0141036447416565,0.017031986091353982,0.01908573974462515,0.01657637694005919,0.014613837395672439,0.029692495977903483,0.016551895297899816,0.09940264840576778,0.16652452562318273,0.305826607536138,0.5640158203082536,0.01898935462551093,0.38042951604182695
curve_E3_1,0.024509061843260706,0.024447684085148334,0.01930340798085408,0.013825712881223817,0.0071341177207742005,0.00975505425338738,0.012466259997840068,0.0138134713133244,0.012610664039887252,0.010407808712820155,0.026040088630692085,0.012830073704450159,0.016221901282765086,0.01708913669783526,0.017587513751415228,0.019042056673914256,0.013724167177910605,0.01653228487297047
curve_E4_1,0.0357464545896238,0.03384905727157549,0.029723592889538915,0.022357471627969833,0.010241091746877701,0.013867319923080079,0.016994840102429038,0.01901906480246685,0.018293739349103878,0.013609098298740446,0.038764758991766284,0.485482525385983,0.01956841477440021,0.02325023186310167,0.024608600543133456,0.022663675825970914,0.021475323786299,0.02231025366680723
curve_E6_1,0.033547990178056285,0.032799843364791845,0.025344283499172393,0.02146781870273516,0.01157739164345039,0.648310283358326,0.014590440047306507,0.01803053963007185,0.43421437803196167,0.5704827478552377,0.03162875182918333,0.01597311851634656,0.021404691292826808,0.020776730555052803,0.023552902613206705,0.022759100173869687,0.017373982443646064,0.020808310055959584
warming,0.0402618888610668,0.03979393102739245,0.025366046595665853,0.023332874791948677,0.011455367254514225,0.01463325050358449,0.1268338515074037,0.04729301763648089,0.020176725598968645,0.018794040774744534,0.03514296956952446,0.018219959212510902,0.04311962553869325,0.03985783499269036,0.029659367676781758,0.022463190423313465,0.036839671823392275,0.02723187024562621
cost_level,0.2349174675347883,0.2184176867851973,0.35510742944297186,0.423146604473179,0.012647077806203473,0.19401786767534152,0.03580430632653164,0.2345697696296908,0.26840732258906513,0.022834195196348134,0.20584014284093335,0.18546775511929856,0.24154085505033532,0.2591702412991501,0.24594570460424156,0.16960158132520955,0.15985734685320777,0.2605727581434348
protection_abs_rp,0.3054080882501389,0.31990390869153984,0.02726807762807577,0.021802293814711417,0.011326911962566952,0.012891856060775106,0.6434496132889073,0.519657778510869,0.0799617017493053,0.15554235297666782,0.27249543254528125,0.09723803132016112,0.41905306797929337,0.3276792442059841,0.18991734244737285,0.023012449068753067,0.3487243145473589,0.12373333203776758
depth_offset,0.0319679384580722,0.03137357134640667,0.023115723389243552,0.025725687001052,0.8638429407906846,0.01401800153292837,0.04258373482174912,0.01838627248720361,0.01696345933749902,0.01435955283102436,0.031120019213347762,0.015997549230091945,0.021060966984759483,0.021579723917399273,0.023213998442595862,0.023995772337499364,0.020659049324728024,0.02331059963509263
pga_scale,0.03690319500674226,0.03024525979893979,0.04349684735229682,0.020391047879904502,0.012063612523910628,0.02270415253793756,0.01729641387488331,0.020117558633721472,0.023829126458549073,0.021306617041888198,0.039751118725528306,0.025534095352010882,0.021797985011614215,0.024516908385542165,0.030379887567913842,0.036658599959813826,0.019610463712779243,0.02851869781294366
aggregation,0.018657697980403933,0.018487983761863048,0.01908478698678007,0.016787457080450797,0.006920516661108971,0.00999245483277681,0.013132931091005225,0.013364313365780596,0.01352347234888753,0.012625126689801678,0.02765666550182312,0.014425659906029441,0.015415399129589755,0.017070053636813843,0.018065498284118967,0.015744317690573512,0.016608966456738095,0.015527987127931422
