0,total_EAD_MEUR,EAD_river_MEUR,damage_RP100_river_MEUR,exposed_qty_RP100_river,EAD_aerodrome_MEUR,EAD_apron_MEUR,EAD_runway_MEUR,EAD_terminal_MEUR
curve_F7_4,0.019496932874353407,0.017308928804600623,0.011163158666587686,0.017178833444943784,0.019158841579587135,0.0,0.2696273249994528,0.0
curve_F9_1,0.08836083036421087,0.08577286802402717,0.3312610050087046,0.011429160122563361,0.08835032084196162,0.0,0.02613834377502932,0.0
warming,0.6792551062030484,0.6950443434100201,0.013032476227390675,0.0193687456952558,0.6895689611969187,0.0,0.266106024606783,0.0
cost_level,0.053398117969807306,0.050539936931245776,0.1423578065790517,0.033191182454697855,0.052286403416394164,0.0,0.08885836583119387,0.0
depth_offset,0.14830997434378568,0.13979209182001165,0.48308613942681994,0.9128106996771129,0.13959307956289008,0.0,0.3185255525742886,0.0
aggregation,0.011179038244794458,0.011541831010094617,0.01909941409144535,0.00602137860542613,0.011042393402248371,0.0,0.03074438821325228,0.0
