0,total_EAD_MEUR,EAD_river_MEUR,damage_RP100_river_MEUR,exposed_qty_RP100_river,EAD_cable_MEUR,EAD_catenary_mast_MEUR,EAD_generator_MEUR,EAD_line_MEUR,EAD_minor_line_MEUR,EAD_plant_MEUR,EAD_pole_MEUR,EAD_portal_MEUR,EAD_substation_MEUR,EAD_switch_MEUR,EAD_terminal_MEUR,EAD_tower_MEUR,EAD_transformer_MEUR
curve_F1_1,0.37212814791957194,0.35675524225121386,0.3477707831068038,0.02467861332448789,0.0,0.019497464146724236,0.02341269289701487,0.025215907204948134,0.013886624522846157,0.4166970736567515,0.021096756861661573,0.0,0.025152407239394686,0.02769817581505759,0.0,0.0216730671058148,0.02603260080251624
curve_F2_1,0.03964776299041986,0.04050063575969323,0.03343817420349325,0.012925133849330665,0.0,0.011821899483795759,0.01469678711314513,0.01648095825801944,0.008833326736478889,0.04119048081798044,0.015275981847620593,0.0,0.018583517640899074,0.017506887972030587,0.0,0.013617537485757178,0.017679860354440826
curve_F6_1,0.020137042867090896,0.022669462937804648,0.01684094863407025,0.007177233769289333,0.0,0.0071586765751168345,0.009990649389460475,0.4069205621913067,0.6805259339168057,0.02183221583882938,0.5072797805972443,0.0,0.010800115652360404,0.01058753342560017,0.0,0.46187167673377333,0.010628573321331687
warming,0.07480837229459833,0.08151369685057222,0.04307484822879487,0.020124503279623434,0.0,0.016384178311118738,0.04545282285540416,0.09575451415830125,0.11989104043009371,0.07454655263936753,0.07542851558824612,0.0,0.1432237639236409,0.26521541747005295,0.0,0.11016813390440051,0.22263095100896035
cost_level,0.37248895296444234,0.37942949594623515,0.4348526928097034,0.029978638713727915,0.0,0.22716941380046582,0.6239661002801888,0.33457697999340236,0.026849276961677118,0.3367496415020676,0.2318280593217293,0.0,0.512513434906249,0.6209697486805958,0.0,0.27179600301991036,0.5994622504222835
depth_offset,0.09952281378886493,0.09916660943170019,0.10708338447163099,0.8964186927000906,0.0,0.7110000137514122,0.27288229396539776,0.1108124166632881,0.14309042159216942,0.08618507270398389,0.14128372611750217,0.0,0.27930070264259316,0.04784439679438889,0.0,0.11160893359324808,0.11377711465251648
aggregation,0.021266907175011673,0.019964856822780746,0.016939168545503414,0.008697184363450261,0.0,0.006968353931366394,0.009598653499388926,0.010238661530734019,0.006923375839929121,0.022798962841019663,0.007807179665995849,0.0,0.010426057994862842,0.010177839842274035,0.0,0.009264648157095753,0.009788649437950981
