0,total_EAD_MEUR,EAD_river_MEUR,EAD_earthquake_MEUR,damage_RP100_river_MEUR,exposed_qty_RP100_river,EAD_cable_MEUR,EAD_catenary_mast_MEUR,EAD_generator_MEUR,EAD_line_MEUR,EAD_minor_line_MEUR,EAD_plant_MEUR,EAD_pole_MEUR,EAD_portal_MEUR,EAD_substation_MEUR,EAD_switch_MEUR,EAD_terminal_MEUR,EAD_tower_MEUR,EAD_transformer_MEUR
curve_F1_1,0.19145773954878345,0.17268626834914827,0.02480509625005606,0.3463030461002247,0.011678478656546174,0.011841656598496108,0.014533040780402077,0.0184389314675228,0.021396576535409648,0.01121189368858073,0.21987238806767043,0.017662749553997843,0.023463808931386592,0.022156103484496276,0.01847770941007195,0.024600261832863273,0.017206893449745332,0.019614581037477884
curve_F2_1,0.0362755090311671,0.03669078191581983,0.025776343861507692,0.020802126240659538,0.010180462504961145,0.011589757582799691,0.013471656659764504,0.01832882453824935,0.024567714214136976,0.01089766722339298,0.03855319597856576,0.01688125654752649,0.02355275430867802,0.023573277181989347,0.018177957958376043,0.022477413291915806,0.018426595969817272,0.023154056242518047
curve_F6_1,0.031437784649702705,0.02526588198653864,0.018540024496001336,0.018332954484938737,0.007873396949372361,0.007996221995257258,0.009974555062599828,0.014896617707490758,0.16599571968191992,0.5570346808982263,0.026741160214522244,0.2558220344214627,0.015483830591150497,0.018874537615312124,0.014774891345224797,0.01659148966097405,0.28271633100604215,0.016666778419552098
curve_E1_1,0.030008039808315394,0.038994161609987844,0.3091636443690289,0.023239582938400036,0.011969176662358026,0.010998021715325138,0.01393614672843647,0.018955707903553443,0.02115932204558051,0.00985335652013129,0.04698698835340848,0.01811992068538469,0.022948929264761473,0.023483329395435956,0.01940082361613268,0.023721695438248286,0.0205754436583396,0.02031534751189885
curve_E2_1,0.026005467323819604,0.029990311799542167,0.032246330933228574,0.020683746683117246,0.01234043803546937,0.011636918604540502,0.013409660425699679,0.019005131144513063,0.02378527487326793,0.010537047086192833,0.02973976628333442,0.01830003905576532,0.5772627795027679,0.2500947420536423,0.02075612444555331,0.5856981984686122,0.0158166077909847,0.03345560747001072
curve_E3_1,0.03082265215712274,0.02759754392570384,0.017852991294831647,0.015981339260478615,0.006880105913121146,0.007792780347656917,0.01129326260468527,0.0150561722262097,0.02211787881579886,0.008790055973974052,0.030253281266766824,0.014049377178253681,0.015483274914782616,0.016909390288663485,0.015395449108856492,0.012542403846295562,0.018592593180999747,0.01824634901741894
curve_E4_1,0.03130321322773694,0.032994497724731425,0.026574418482880082,0.02414793974862242,0.011001568765325303,0.010819460121874652,0.014263919016945348,0.019315282145110173,0.022713995933646612,0.010401657264300576,0.03525683808564265,0.13036923294962352,0.024999652509220222,0.024635308927731647,0.019696901118469844,0.024442427589531288,0.02001215294612724,0.022238151346119353
curve_E6_1,0.04754668832178839,0.04361158443566839,0.025809077201629282,0.020243230436914495,0.01105472152515285,0.660307940678035,0.014300844604731014,0.019419313886595853,0.11145411258473939,0.012244764950014623,0.03722192592670918,0.017615368065664504,0.023770341261021878,0.020978509904182194,0.01933360891024825,0.022601277607477436,0.02026566930735954,0.02145776494516203
warming,0.0313616568809327,0.03917438709172631,0.027241948901825866,0.021494267835747764,0.011473681156414622,0.010022334557547172,0.0135785528572734,0.01871211605216923,0.038410592258439284,0.07899695555898346,0.0413466457368227,0.02888896615890077,0.021546874589209557,0.030375458729286847,0.06827472773402518,0.02181370096354923,0.05018134383384721,0.0660067176668243
cost_level,0.19835030662234407,0.19739381546859924,0.3822924740355167,0.3632510978155692,0.011679608037912027,0.20835426333741863,0.02970208693788948,0.18140618718201504,0.2448120166288953,0.016017668046756143,0.1846041132268229,0.2148921054168134,0.1627034971403738,0.2533139746250281,0.16557865927562573,0.1516766345212563,0.17903806597928743,0.2675330308310548
protection_scale,0.22570817095593537,0.241954318875273,0.02593016366434676,0.018708454050056823,0.012400704735208328,0.011018879099353087,0.7360116961322105,0.5367328586244036,0.20644170142144974,0.15419700652268842,0.18391779621632223,0.1635733136924436,0.02557883057276254,0.2234307146172486,0.5650606511840751,0.024353262869162926,0.26051199664044294,0.41074617523390167
depth_offset,0.0641830211769291,0.054495873585915504,0.02812262602334795,0.06755257782594173,0.8611514413809047,0.012901552838182504,0.08979699730308022,0.08545360617981018,0.05862885283758543,0.0987302540002343,0.0606482721266202,0.07136829866696161,0.02222212384008483,0.0504092767637455,0.02037816154212229,0.0237593746491419,0.06944852093766479,0.043875797678328526
pga_scale,0.027890557333518612,0.034687787189392486,0.03710992901492204,0.02310223599502516,0.012188982990799265,0.016318358931287667,0.015465144257560324,0.019109987388116034,0.019733693350510555,0.011205147786998998,0.035982713658939125,0.01823884517414215,0.02604881514734586,0.023047043256191432,0.021205887966592542,0.027006255580243967,0.014336367148704503,0.02075862081462054
aggregation,0.027649192961903858,0.024462786041953045,0.018534931470877147,0.01615740058430353,0.008127232686454535,0.008401853592225774,0.010262436628721804,0.015169263554240897,0.018782548818619755,0.009881844479525469,0.028874914857852912,0.014218492433059676,0.014934487426454309,0.018718333157046144,0.013488446384625954,0.01871560368072791,0.012871418150637746,0.0159310217851123
