outcome,factor,S1,S1_conf,ST,ST_conf,interaction
total_EAD_MEUR,curve_F1_1,0.31664645510852124,0.181686864522107,0.7142785822596417,0.22834683028407435,0.39763212715112045
total_EAD_MEUR,curve_F2_1,0.0,0.0,0.0,0.0,0.0
total_EAD_MEUR,curve_F6_1,-2.920188955590139e-05,9.66705201636249e-05,6.829401076658251e-07,1.9629623713765724e-07,2.9884829663567215e-05
total_EAD_MEUR,warming,0.022566371293821146,0.024309820474868207,0.0638727258725104,0.02404327573957295,0.04130635457868925
total_EAD_MEUR,cost_level,0.2905103330786685,0.19023016187372327,0.5654645023357703,0.14464568954056892,0.27495416925710175
total_EAD_MEUR,depth_offset,0.015878575204836168,0.02693413792995753,0.05790450045274224,0.03312344055811586,0.04202592524790607
total_EAD_MEUR,aggregation,0.0004316491805511985,0.0007379715878293874,0.00012612366296879633,8.160504724891394e-05,-0.00030552551758240214
EAD_river_MEUR,curve_F1_1,0.31664645510852124,0.17074019419032704,0.7142785822596417,0.190113419725057,0.39763212715112045
EAD_river_MEUR,curve_F2_1,0.0,0.0,0.0,0.0,0.0
EAD_river_MEUR,curve_F6_1,-2.920188955590139e-05,0.00010552266911116044,6.829401076658251e-07,1.8596387141400394e-07,2.9884829663567215e-05
EAD_river_MEUR,warming,0.022566371293821146,0.028647459202234778,0.0638727258725104,0.0273705897881838,0.04130635457868925
EAD_river_MEUR,cost_level,0.2905103330786685,0.20477445900442695,0.5654645023357703,0.14185377936101853,0.27495416925710175
EAD_river_MEUR,depth_offset,0.015878575204836168,0.02385020175833866,0.05790450045274224,0.0315888699490187,0.04202592524790607
EAD_river_MEUR,aggregation,0.0004316491805511985,0.000761382155447361,0.00012612366296879633,8.213235485299161e-05,-0.00030552551758240214
damage_RP100_river_MEUR,curve_F1_1,0.35150732169217225,0.12652590975917166,0.6434589798093413,0.14432829538019967,0.29195165811716906
damage_RP100_river_MEUR,curve_F2_1,0.0,0.0,0.0,0.0,0.0
damage_RP100_river_MEUR,curve_F6_1,-5.652656861417345e-06,0.00010622860196421021,5.159915184574197e-07,1.376513652023178e-07,6.168648379874765e-06
damage_RP100_river_MEUR,warming,0.0,0.0,0.0,0.0,0.0
damage_RP100_river_MEUR,cost_level,0.32248494118480214,0.11181111675466504,0.633060083089337,0.15425598015949019,0.3105751419045349
damage_RP100_river_MEUR,depth_offset,0.027229018141363033,0.02625990829113199,0.05904101194715998,0.02203362127426741,0.03181199380579695
damage_RP100_river_MEUR,aggregation,0.0005273617705668928,0.0009915908706522288,0.00023168789761870891,0.00013630488863946238,-0.0002956738729481839
