0,total_EAD_MEUR,EAD_river_MEUR,EAD_earthquake_MEUR,damage_RP100_river_MEUR,exposed_qty_RP100_river,EAD_motorway_trunk_MEUR,EAD_primary_MEUR,EAD_secondary_MEUR,EAD_tertiary_MEUR,EAD_other_MEUR
curve_F7_4,0.0868599592490622,0.09159830344619037,0.032304612186313364,0.4533804625310639,0.014398901051645367,0.1614056132614923,0.15049748721528425,0.022053417440286802,0.02331473305330677,0.02536049548264627
curve_F7_8,0.039027485060670025,0.03938851072572202,0.018849094921319268,0.27097658850575274,0.008072087671817262,0.024560146542577023,0.02065338366164749,0.2357598262197214,0.23980089293528511,0.2015914460364978
curve_E7_10,0.03511719591529862,0.03321019692108529,0.643301524054434,0.017694129888848085,0.018025964409182006,0.04786569159796059,0.03047033815042033,0.026358533031279538,0.030046036256258363,0.02968041301151387
warming,0.05020075376431191,0.04966012021243717,0.03643985362885783,0.01758838934399321,0.01472082840913386,0.056385123088122595,0.0568737998002411,0.03933189758994516,0.04885118378550666,0.035153544526395124
cost_level,0.05809102468161616,0.05275840023525284,0.11345534014305947,0.16651553159593405,0.019736813390329403,0.08359082982321721,0.03990641371120843,0.06843832239496307,0.04098697447571324,0.12488658352249458
protection_scale,0.641844216130086,0.647479025273749,0.04119281317513803,0.018324486292942158,0.01761668903928388,0.5159808928763956,0.6148240643728914,0.5433903232052014,0.551614479191975,0.505316004756213
depth_offset,0.034814323494041864,0.03438179413142402,0.03765322728202369,0.026831040031300143,0.881277423634382,0.05263127999710738,0.03663343073515925,0.02678386609739,0.026592243599824265,0.027590869309828306
pga_scale,0.03247552946638041,0.032454764728345735,0.0559278751550856,0.018038481982886243,0.018348315774488866,0.036390499773008726,0.033074745497499704,0.022836638117435196,0.025113953199498388,0.03017561927913779
aggregation,0.021569512238532745,0.019068884325793428,0.02087565945376866,0.010650889827279419,0.007802976619737344,0.021189923040118488,0.01706633685564814,0.015047175903777386,0.013679503502632348,0.020245024075273083
