0,total_EAD_MEUR,EAD_earthquake_MEUR,EAD_motorway_trunk_MEUR,EAD_primary_MEUR,EAD_secondary_MEUR,EAD_tertiary_MEUR,EAD_other_MEUR
curve_E7_10,0.7886498549350046,0.7801389080472833,0.7747724658744136,0.835713679300345,0.7862683045686606,0.8241455821965336,0.7180389451154161
cost_level,0.1260660883570992,0.13063689738668846,0.1328212525927137,0.07320973142944173,0.12059481524536668,0.084901410955876,0.1878998600514286
pga_scale,0.07831993351375467,0.08185440369146739,0.08531332194379915,0.08413638964556734,0.08507838122139912,0.08434986274011974,0.0852609571410956
aggregation,0.006964123194141513,0.007369790874561024,0.007092959589073551,0.006940199624646001,0.008058498964573694,0.006603144107470563,0.008800237692059768
