0,total_EAD_MEUR,EAD_river_MEUR,EAD_earthquake_MEUR,damage_RP100_river_MEUR,exposed_qty_RP100_river,EAD_college_MEUR,EAD_kindergarten_MEUR,EAD_library_MEUR,EAD_school_MEUR,EAD_university_MEUR
curve_F21_10,0.14463433750061264,0.1636823753918189,0.06324199822715854,0.4642147139394529,0.012330287935622528,0.14648828778278059,0.31046764745604744,0.0,0.13129529432465184,0.11589359518547936
curve_E21_26_C,0.02910199772942481,0.026382413922390394,0.29040303144360385,0.0222030712828171,0.015457262026285877,0.028755512174319025,0.03137271422508597,0.0,0.029311543876946105,0.03882149283175939
warming,0.036820183863282716,0.030823968191395438,0.0663708251711291,0.020646843802061526,0.012558190172150195,0.031443748694315606,0.06564792831680837,0.0,0.033634155656879716,0.04952114824069912
cost_level,0.16668374725413798,0.1392496842083132,0.3265522318351388,0.3624178023798962,0.01481713190066011,0.12969370200308947,0.316740637620598,0.0,0.165188010179231,0.19950740365140557
protection_scale,0.5329216204717874,0.5560653595737055,0.06963094591360107,0.02091954816329825,0.014024533328976902,0.5773124202298631,0.1582982972613309,0.0,0.5549637049727257,0.5062250540782802
depth_offset,0.041666375860606876,0.03931592398511821,0.07144939622045762,0.07650386465822955,0.910001053618562,0.043563625670021776,0.06691079373454921,0.0,0.040315250417886285,0.03438884673242997
pga_scale,0.029392088830093806,0.02765258942160436,0.082240770674921,0.02088971114013518,0.014881459688066048,0.025118782270969656,0.029906328561381108,0.0,0.027358549686195287,0.03416329257099365
aggregation,0.01877964849005358,0.0168276853056541,0.030110800513989976,0.01220444463410924,0.00593008132967634,0.017623921174640823,0.02065565282419907,0.0,0.017933490885484203,0.02147916670895273
