0,total_EAD_MEUR,EAD_river_MEUR,EAD_earthquake_MEUR,damage_RP100_river_MEUR,exposed_km_RP100_river,EAD_motorway_trunk_MEUR,EAD_primary_MEUR,EAD_secondary_MEUR,EAD_tertiary_MEUR,EAD_other_MEUR
warming,0.07075989950338551,0.07355072723676415,0.035545922194120144,0.00815304741816801,0.015004866771627942,0.061924105165626256,0.07221582742574728,0.05491711358338605,0.0654532968168036,0.07101184273754817
curve_main,0.026302522690425066,0.027881102788682003,0.030395649414248556,0.026995026045332136,0.013697768034603756,0.2034385945883089,0.2080631226416233,0.018077913808302114,0.02066905357922972,0.019668986206292458
curve_other,0.28464555167788724,0.2886023162441938,0.014986895346082788,0.6105193547513015,0.007987066366393018,0.021796129483406753,0.02189646899799298,0.40175978920360633,0.3446275012762701,0.34814944520543545
eq_curve,0.02704720817609999,0.024655467246322865,0.6789340519517236,0.009361451950797826,0.016316913978538468,0.0366630144774394,0.03309462294540979,0.01901872565569067,0.02243016773306343,0.024718129215639394
cost_level,0.11422446855203279,0.10860981421268669,0.09838598383055806,0.20040560910480582,0.01809239953626098,0.08265970899948116,0.03728403336125204,0.07419330938443745,0.03379470454917404,0.1561635376029829
protection_scale,0.36617582217964306,0.3689021623742388,0.033873264155155965,0.009448211072905175,0.01769273703893829,0.43385476111567955,0.4344727480750366,0.34915185548920297,0.4207476387642651,0.28445319117550805
depth_offset,0.06945876209245588,0.06745415811098038,0.039361773821591235,0.12076678108260519,0.8875327786849656,0.1033887896984546,0.14352702115952337,0.05268435242275543,0.06093492825341731,0.05879529156966583
pga_scale,0.025331297374016383,0.024092769982234228,0.05003227505715974,0.008842859724623758,0.01622293189433801,0.03506977634894401,0.032261465199758955,0.01877209573518259,0.019052557246541212,0.020812085196641114
aggregation,0.016054467754054058,0.016251481803897034,0.01848418422935995,0.005507658849460647,0.007452537694333926,0.02120512012265941,0.01718469019365566,0.011424844717436433,0.012290151781235544,0.016227491090286705
