0,total_EAD_MEUR,EAD_river_MEUR,EAD_earthquake_MEUR,damage_RP100_river_MEUR,exposed_km_RP100_river,EAD_motorway_trunk_MEUR,EAD_primary_MEUR,EAD_secondary_MEUR,EAD_tertiary_MEUR,EAD_other_MEUR
warming,0.053646345087136074,0.0488538767168716,0.042207978190362504,0.018701645613829122,0.01568594676828626,0.051783392606704684,0.04706685567023097,0.04535624315065582,0.055612783753441065,0.04701145574761088
curve_main,0.07298861489298004,0.07413057762950985,0.03815395641157119,0.43880372998011385,0.014249367731513939,0.1457472682346111,0.14255937967991647,0.021320740319407856,0.020518246705443225,0.024317919699636183
curve_other,0.04670047416351213,0.04635138462912842,0.01767104019512995,0.26752725380776304,0.007511070316340809,0.020476687455275634,0.017401068569182096,0.23737323985234698,0.23954382454027065,0.20561266903326544
eq_curve,0.03410176764072601,0.03485844776780017,0.6412946010680601,0.019264646439258713,0.017278926916632596,0.04912046301761052,0.03351041495475733,0.025840850693367435,0.025486273863821983,0.02862005863350679
cost_level,0.049738074901418926,0.05026483852339634,0.09642348457792291,0.1757402892333594,0.01756642927802073,0.08052759243686182,0.03544398740442413,0.05479528028226159,0.03195841794063649,0.11241433323404372
protection_scale,0.6602313804373859,0.6638443549449231,0.042310564130004266,0.018482084620589603,0.018846615107259313,0.5484789403580703,0.6399537026304386,0.5535803254366503,0.5643408087882812,0.5104313680141183
depth_offset,0.031072113299119877,0.03401467458153537,0.04359860010686756,0.027838299327272515,0.8826867286782789,0.04888016480833986,0.03331043861140536,0.025595191099796924,0.024455346313418596,0.029258114012497005
pga_scale,0.03510985762743655,0.0303048464518746,0.05753824699143919,0.02065224186284125,0.018683129289813877,0.03442629053094673,0.03593216491679897,0.02449072826921998,0.024047876956173057,0.02716946664728787
aggregation,0.016411371950284376,0.017376998754960626,0.020801528328642252,0.012989809114972523,0.007491785913853615,0.020559200551579348,0.014821987562846136,0.011647400896292962,0.014036421138513746,0.01516461497803403
